nom,type,region,province,latitude,longitude,population
Zinka Folapouo,commune,Sud-Ouest,,10.13333,-2.91667,0
Zinka,commune,Sud-Ouest,,10.13333,-2.91667,0
Ziniguisé,commune,Centre-Ouest,,12.11667,-2.11667,0
Zinigma,commune,Centre-Nord,Province du Bam,13.40905,-1.71803,0
Zinigen,commune,Nord,,13,-2.28333,0
Zinibéogo,commune,Centre-Nord,Sandbondtenga,13.86623,-0.73761,0
Zinguina,commune,Hauts-Bassins,Province du Kénédougou,11.90347,-4.96788,0
Zingédagen,commune,Centre-Ouest,,12.18333,-2.1,0
Zinékwé,commune,Centre-Sud,,11.91667,-1.31667,0
Zinedi,commune,Sud-Ouest,,9.96667,-2.8,0
Zindiguessé,commune,Nord,Province du Yatenga,13.28604,-2.37295,0
Zinaziélla,commune,Centre-Est,,11.23333,-0.65,0
Zinado,commune,Plateau-Central,,12.18333,-0.66667,0
Zinab,commune,Centre-Nord,,12.78333,-0.98333,0
Zina,commune,Boucle du Mouhoun,,12.01667,-3.4,0
Saben,commune,Plateau-Central,,12.85233,-1.79751,0
Sabsin,commune,Centre-Sud,Bazega Province,12.10507,-1.55127,0
Zimsa,commune,Centre-Nord,Sandbondtenga,13.31084,-1.09723,0
Zimou,commune,Boucle du Mouhoun,Province du Sourou,13.08537,-2.9114,0
Zimba,commune,Nord,Province du Yatenga,13.5048,-2.43669,0
Zimkouri,commune,Centre-Nord,,12.85,-0.51667,0
Zimkorom,commune,Centre-Est,,12.4,-0.16667,0
Zimiouzou,commune,Nord,,12.71667,-2.2,0
Zimidou,commune,Centre-Nord,Sandbondtenga,13.18678,-1.2623,0
Zimidi,commune,,,12.8,-2.7,0
Zimidem,commune,Centre-Ouest,,12.61667,-2.16667,0
Zimasso,commune,Boucle du Mouhoun,,12.66667,-3.61667,0
Zilatéoun,commune,Sud-Ouest,,9.95,-2.85,0
Zilaoro,commune,Nord,Province du Passoré,13.03309,-1.88629,0
Zikomtenga,commune,Centre,Kadiogo Province,12.2394,-1.4552,0
Zikiémé,commune,Centre-Nord,,12.93333,-0.98333,0
Ziguénoguen,commune,Plateau-Central,,12.33333,-0.71667,0
Zigo,commune,Plateau-Central,,12.39247,-1.78693,0
Zigla Polosé,commune,Centre-Est,,11.7,-0.63333,0
Zigla Pakala,commune,Centre-Est,,11.75,-0.58333,0
Zigla Koulpélé,commune,Centre-Est,,11.71667,-0.63333,0
Zigla,commune,Centre-Sud,,11.65,-1.01667,0
Ziga,commune,Nord,Province du Yatenga,13.41604,-2.31252,0
Ziga,commune,Centre-Nord,,12.61075,-0.83311,0
Ziga,commune,Plateau-Central,Province du Bassitenga,12.56475,-1.11204,0
Ziga,commune,Boucle du Mouhoun,,12.36667,-3.8,0
Ziédougou,commune,Cascades,Province de la Comoé,10.4127,-5.03876,0
Zibtenga,commune,Centre-Nord,,12.88333,-0.9,0
Zibri,commune,Plateau-Central,,12.62495,-1.00823,0
Zibako,commune,Centre,,12.55132,-1.64205,0
Ziasso,commune,Boucle du Mouhoun,,12.15,-3.33333,0
Zambélé,commune,Nord,Province du Yatenga,13.01424,-2.21426,0
Zétonasso,commune,Hauts-Bassins,Province du Kénédougou,11.27755,-5.22688,0
Zétgomdé,commune,Plateau-Central,,12.5,-0.71667,0
Gounghin,commune,Centre-Sud,Bazega Province,12.06677,-1.42134,0
Zèsa,commune,Nord,,12.71667,-2.45,0
Zérounda,commune,Nord,,12.86985,-1.93915,0
Zerkoum,commune,Centre-Ouest,,12.38333,-2.06667,0
Zerkom,commune,Centre-Ouest,,12.23616,-1.95317,0
Zérédéguen,commune,Centre-Nord,Sandbondtenga,13.07382,-1.14553,0
Zérébougou,commune,Centre-Est,,11,-0.58333,0
Zéoulé,commune,Boucle du Mouhoun,,12.26667,-3.53333,0
Zéoula,commune,Boucle du Mouhoun,,12.26667,-3.48333,0
Zennloua,commune,Centre-Ouest,,11.88333,-1.96667,0
Zénin,commune,Centre-Ouest,,11.86667,-2.48333,0
Zénédéré,commune,Nord,,12.76667,-2.2,0
Zemtoéga,commune,Centre-Sud,,11.76667,-1.28333,0
Zèmpasgo,commune,Plateau-Central,,12.25,-0.73333,0
Zémpana,commune,Boucle du Mouhoun,,12.8,-3.5,0
Zémouapare,commune,Sud-Ouest,,10.21667,-2.83333,0
Zélougou,commune,Centre-Est,,11.13333,-0.63333,0
Zélogo,commune,Centre-Sud,,10.96667,-0.88333,0
Zélemsondé,commune,Centre-Nord,Province du Namentenga,13.56317,-0.47425,0
Zélasié,commune,Boucle du Mouhoun,,12.45,-2.8,0
Zila,commune,Plateau-Central,Province du Kourwéogo,12.45774,-1.79665,0
Zékounga,commune,Centre,Kadiogo Province,12.38967,-1.67532,0
Zéko,commune,Plateau-Central,,12.25,-0.58333,0
Zinkemzougou,commune,Centre-Ouest,Province du Boulkiemdé,12.31501,-1.91917,0
Zéka,commune,Centre-Nord,Sandbondtenga,13.08212,-1.305,0
Zéhui,commune,Boucle du Mouhoun,Province de la Koosin,12.9067,-4.159,0
Zengressé,commune,Centre,Kadiogo Province,12.2092,-1.3813,0
Zéguédessé,commune,Centre-Sud,Bazega Province,12.00135,-1.24194,0
Zéguédéguen,commune,Centre-Nord,Province du Namentenga,12.95735,-0.45499,0
Zéguédéguin,commune,Centre-Sud,,11.9,-1.45,0
Zéguédéguen,commune,Centre-Ouest,,12.093,-1.97562,0
Zéguédéga,commune,Plateau-Central,,12.3,-0.53333,0
Zéguédéga,commune,Centre-Est,,11.91667,-0.38333,0
Zégèdnogo,commune,Centre-Nord,Sandbondtenga,13.22338,-1.31584,0
Zéguédéguen I,commune,Plateau-Central,,12.78853,-1.89159,0
Zéguédéguen II,commune,Plateau-Central,Province du Kourwéogo,12.79176,-1.73275,0
Zécco,commune,Centre-Sud,,11.03333,-0.85,0
Zébékaha,commune,Cascades,,10.46667,-5.35,0
Zaye,commune,Nord,Province du Yatenga,13.99615,-2.37326,0
Zawara,commune,Centre-Ouest,,11.78333,-2.58333,0
Zawadoro,commune,Centre-Est,,12.08333,-0.25,0
Zavara,commune,Centre-Ouest,,11.5,-1.88333,0
Zarsin,commune,Centre-Sud,Bazega Province,12.11009,-1.31377,0
Zargomé,commune,Centre-Est,,11.63333,-0.01667,0
Zargo,commune,Centre-Est,,11.68333,-0.61667,0
